Measure,Group,Day,Value
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.6135219639374412
CoordC/T-unit,IW,Day 1,0.5178844003417555
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.5459410404836629
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.5849859643346584
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.4831832067232403
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.526023512262711
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.38179947922761664
CoordC/T-unit,IW,Day 1,0.5254518429256501
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.5234680650171522
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.5880496577840371
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.4992595767559568
CoordC/T-unit,IW,Day 1,0.3824674846901769
CoordC/T-unit,IW,Day 1,0.545688867983016
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.5722557358414448
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.37945816640401153
CoordC/T-unit,IW,Day 1,0.5551590668924223
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.5855010101238196
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.4237383141227624
CoordC/T-unit,IW,Day 1,0.552842289936777
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.3720252927747048
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.36154223408450714
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.3690914190924111
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.49302260344353915
CoordC/T-unit,IW,Day 1,0.5178201190685688
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.552783978404783
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.4971692570147407
MLC,IW,Day 1,5.969002735372487
MLC,IW,Day 1,6.9438225303263295
MLC,IW,Day 1,7.21
MLC,IW,Day 1,7.186112494857285
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,6.05627078341794
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,7.21
MLC,IW,Day 1,6.5370199342539665
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.001759402539436
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,6.732100725231021
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,6.379373384957617
MLC,IW,Day 1,7.21
MLC,IW,Day 1,6.385245467931719
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.414182436203141
MLC,IW,Day 1,5.0
MLC,IW,Day 1,6.676514655396295
MLC,IW,Day 1,6.704235736003465
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.685349627426809
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,7.21
MLC,IW,Day 1,7.21
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.117701123075113
MLC,IW,Day 1,6.138108618425086
MLC,IW,Day 1,6.1282040388469925
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,6.106078663752934
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,6.274101635642253
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.260989181421577
MLC,IW,Day 1,6.741615224863276
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,6.826133920880777
MLC,IW,Day 1,6.658122481010106
MLC,IW,Day 1,6.601375113986558
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,6.1213156301806935
MLC,IW,Day 1,6.3369472644985185
MLC,IW,Day 1,5.266297211181037
MLC,IW,Day 1,6.756301473102158
MLC,IW,Day 1,7.21
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,6.753046944396885
MLC,IW,Day 1,5.0
MLC,IW,Day 1,6.210437767777476
MLC,IW,Day 1,7.1262835076576865
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.535748006208231
MLC,IW,Day 1,6.481179867430527
MLC,IW,Day 1,7.21
MLC,IW,Day 1,5.0
MLC,IW,Day 1,7.21
MLC,IW,Day 1,6.717798544837691
MLC,IW,Day 1,7.21
MLC,IW,Day 1,7.21
MLC,IW,Day 1,6.71300022871162
MLC,IW,Day 1,5.465164757445708
GI,IW,Day 1,5.56
GI,IW,Day 1,5.437559701429768
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,5.517642353396292
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,5.405597615057286
GI,IW,Day 1,4.792969903951483
GI,IW,Day 1,5.189191472715364
GI,IW,Day 1,5.377062803543252
GI,IW,Day 1,4.769830221582415
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,5.525254246459504
GI,IW,Day 1,5.56
GI,IW,Day 1,5.167850781187362
GI,IW,Day 1,4.49
GI,IW,Day 1,5.11737450567313
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,4.756731489834731
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,4.663370342490992
GI,IW,Day 1,4.49
GI,IW,Day 1,4.497315546518649
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,5.131542344904406
GI,IW,Day 1,5.345678902861799
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,5.493219081460782
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,5.52498772589094
GI,IW,Day 1,4.49
GI,IW,Day 1,4.522441667423461
GI,IW,Day 1,4.989525840063236
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,4.730443116964613
GI,IW,Day 1,4.897394183035512
GI,IW,Day 1,5.56
GI,IW,Day 1,4.520228765529062
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,4.957490714328227
GI,IW,Day 1,5.534221696464929
GI,IW,Day 1,5.269487597181548
GI,IW,Day 1,4.518929070716262
GI,IW,Day 1,4.549732834107288
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,4.840124459791872
GI,IW,Day 1,4.49
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,5.56
GI,IW,Day 1,4.49
GI,IW,Day 1,4.500666252859386
GI,IW,Day 1,5.56
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,13.299860298291048
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.015183683128534
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,14.747967952834674
GramErr100,IW,Day 1,12.282543254551321
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,15.538011923821252
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,14.080586463614056
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,16.204313405845483
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.513288363169796
GramErr100,IW,Day 1,17.2885968551225
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.544424767261333
GramErr100,IW,Day 1,13.346031668488186
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.494116532774072
GramErr100,IW,Day 1,16.936077738604695
GramErr100,IW,Day 1,14.956107064636672
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,14.718883713777167
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.407358601005015
GramErr100,IW,Day 1,17.014159097495504
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.356135660031715
GramErr100,IW,Day 1,16.23035629119033
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,15.500631271203027
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,16.14460504848116
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.746468075363506
GramErr100,IW,Day 1,15.579765147889885
GramErr100,IW,Day 1,13.249245305379759
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,14.578503655762528
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,14.109918005526406
GramErr100,IW,Day 1,12.1
GramErr100,IW,Day 1,14.706428342403232
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,15.845380472848205
GramErr100,IW,Day 1,17.83
GramErr100,IW,Day 1,17.53421566748262
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,34.66692575383064
GramErrFreeC,IW,Day 1,20.234385055329653
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,30.551166169623535
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.967966996838374
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,24.974017799450113
GramErrFreeC,IW,Day 1,29.73521542343185
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,24.387554712870035
GramErrFreeC,IW,Day 1,20.283200707860864
GramErrFreeC,IW,Day 1,23.455847774577197
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,18.768632222470362
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,23.87144890353435
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,37.818188171404245
GramErrFreeC,IW,Day 1,30.235937685105892
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,19.434892685873436
GramErrFreeC,IW,Day 1,36.60483352683838
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,31.061601460839665
GramErrFreeC,IW,Day 1,21.645005602000815
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,24.875687176261565
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,22.778469638196697
GramErrFreeC,IW,Day 1,27.928709669412452
GramErrFreeC,IW,Day 1,18.82113860316679
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,23.901622540695254
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,19.579977688398266
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,30.82536322294708
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,31.746485639972757
GramErrFreeC,IW,Day 1,21.903898817979822
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,27.4537703022096
GramErrFreeC,IW,Day 1,17.46
GramErrFreeC,IW,Day 1,36.25056749211089
GramErrFreeC,IW,Day 1,38.24
GramErrFreeC,IW,Day 1,30.92499057847738
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,8.338555719008971
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,10.448683740371596
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,12.391789816896287
SpellErr100,IW,Day 1,14.127009329495603
SpellErr100,IW,Day 1,13.88436098447992
SpellErr100,IW,Day 1,9.856653297398699
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,8.090054935199667
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,11.947419007124608
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,11.04222243728795
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,11.004159561859042
SpellErr100,IW,Day 1,13.54931698392593
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,13.669379834318148
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,10.913807745680463
SpellErr100,IW,Day 1,13.333215923882477
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,11.871949903818898
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,12.299621861354172
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,10.684883243066789
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,13.408600160057071
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,8.054339858653913
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,13.982492135759168
SpellErr100,IW,Day 1,10.488212677153745
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,11.97746341075791
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,10.431079941781332
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,9.3126353729643
SpellErr100,IW,Day 1,7.9281335348012085
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,9.458781285197214
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,10.459917162431099
SpellErr100,IW,Day 1,9.705053993096618
SpellErr100,IW,Day 1,14.146481294157791
SpellErr100,IW,Day 1,14.34
SpellErr100,IW,Day 1,7.53
SpellErr100,IW,Day 1,14.34
Borrow100,IW,Day 1,0.03
Borrow100,IW,Day 1,0.03
Borrow100,IW,Day 1,0.03
Borrow100,IW,Day 1,0.03
Borrow100,IW,Day 1,0.03
